,Title,published_date,views,likes,month
95,Dua Lipa - IDGAF [Hazers Remix] (Official Audio),2018-07-11 15:35:09+00:00,452754,7612,Jul
96,Dua Lipa - IDGAF [Acoustic] (Official Audio),2018-07-04 08:34:42+00:00,536690,17531,Jul
97,Dua Lipa - IDGAF [feat. Saweetie] (Official Audio),2018-07-04 08:29:57+00:00,203679,6042,Jul
98,Dua Lipa - IDGAF [B-Case Remix] (Official Audio),2018-07-04 08:25:29+00:00,360749,12948,Jul
99,Dua Lipa - IDGAF [Diablo Remix feat. Rich Brian] (Official Audio),2018-07-04 08:12:33+00:00,277391,10445,Jul
100,Dua Lipa - IDGAF [Initial Talk Remix] (Official Audio),2018-07-04 08:01:36+00:00,349240,7538,Jul
101,Dua Lipa Diaries 011 - Atlanta Show - June 2018,2018-06-27 16:01:59+00:00,583947,15775,Jun
102,Dua Lipa Diaries 010 - BBMAs Rehearsals - May 2018,2018-06-07 14:34:40+00:00,1049830,19176,Jun
103,"Dua Lipa Diaries 009 - Kawaii Cafe, Japan - May 2018",2018-06-04 11:07:23+00:00,613226,19918,Jun
104,Dua Lipa Diaries 008 - Korea - May  2018,2018-06-04 11:07:00+00:00,393970,14748,Jun
105,Dua Lipa Diaries 007 - Meerkat Cafe - May 2018,2018-05-23 14:35:12+00:00,680574,22636,May
106,Dua Lipa Diaries 006 - Birmingham - April 2018,2018-05-23 14:28:14+00:00,423763,11406,May
107,Dua Lipa - New Rules (Live at The Billboard Music Awards 2018),2018-05-21 17:41:44+00:00,4259865,122535,May
108,Dua Lipa Diaries 005 -  Glasgow - April 2018,2018-05-17 16:51:19+00:00,517298,15960,May
109,Dua Lipa Diaries 004 - Dublin - April 2018,2018-05-01 15:06:50+00:00,755492,23695,May
110,Dua Lipa Diaries 003 - BBC Radio 1 Live Lounge - February 2018,2018-04-13 09:03:04+00:00,908028,28314,Apr
111,Dua Lipa Diaries 002 - BRIT Awards - February 2018,2018-04-10 17:30:55+00:00,1768305,45508,Apr
112,Dua Lipa Diaries 001 - Melbourne - March 2018,2018-04-04 13:08:55+00:00,1611817,46038,Apr
113,Dua Lipa - New Rules (Live at The BRIT Awards 2018),2018-02-22 12:36:32+00:00,31862755,492821,Feb
114,Dua Lipa - New Rules (Official Reaction Video),2018-02-14 08:51:32+00:00,411188,17865,Feb
115,Dua Lipa - IDGAF (Official Reaction Video),2018-01-15 13:36:56+00:00,594493,30397,Jan
116,Dua Lipa - IDGAF (Official Music Video),2018-01-12 12:00:07+00:00,829594487,5745109,Jan
117,Dua Lipa captured on Google Pixel 2,2018-01-05 12:59:09+00:00,502912,28543,Jan
118,Dua Lipa - New Rules [Piano Acoustic] (Official Audio),2017-12-14 13:56:32+00:00,1385850,59956,Dec
119,Dua Lipa - New Rules (Official Lyric Video),2017-12-07 15:00:05+00:00,4940361,143314,Dec
120,dualipaVEVO Live Stream,2017-11-26 14:51:33+00:00,0,1,Nov
121,Dua Lipa - Golden Slumbers [The Beatles Cover] (Official Audio),2017-11-16 17:02:13+00:00,2585937,67484,Nov
